Coal or Metal Mine,Commodity,ID,Operator,State,Status,Type,minename
M ,"Crushed, Broken Stone NEC ",3503598,Newberg Rock & Dirt  ,OR,Active ,Surface,Newberg Rock & Dirt
M ,Construction Sand and Gravel ,0502030,Allied Dirt Moving Company  ,CO,Abandoned ,Surface,Allied Dirt Moving Co Pit & Plant
M ,Construction Sand and Gravel ,4801789,AM Dirtworks & Aggregate Sales  ,ND,Abandoned ,Surface,AM Dirtworks & Aggregate Sales
C ,Coal (Bituminous) ,4201449,Atlas-Dirty Devil Mining  ,UT,Abandoned ,Facility,Unit Train Loading Facility
C ,Coal (Bituminous) ,4201450,Atlas-Dirty Devil Mining  ,UT,Abandoned ,Surface,Blackie Surface Mine & Prep Plant
M ,Construction Sand and Gravel ,1002257,Babe's Dirt Work  ,ID,Abandoned ,Surface,"Hitt Pit, Inc."
M ,Construction Sand and Gravel ,1601167,Bar-Lin Dirt Company  ,LA,Abandoned ,Surface,Bar-Lin Dirt Pit
M ,Construction Sand and Gravel ,4103265,Barber'S Dirt Pit  ,TX,Abandoned ,Surface,Barber'S Dirt Pit
M ,Construction Sand and Gravel ,1401575,Bender Sand & Dirt  ,KS,Intermittent ,Surface,BENDER SAND & DIRT
M ,Construction Sand and Gravel ,1700776,BERT'S DIRT  ,ME,Abandoned ,Surface,BERT'S DIRT
M ,Construction Sand and Gravel ,1601251,Big D Dirt Service Inc  ,LA,Abandoned ,Surface,Dorothy V Pit
M ,Construction Sand and Gravel ,0301963,Big Red Dirt Farm LLC  ,AR,Abandoned ,Surface,Big Red Dirt Farm
M ,Construction Sand and Gravel ,1601082,Big River Dirt Pit  ,LA,Abandoned ,Surface,Big River Dirt Pit
M ,Construction Sand and Gravel ,3401751,Bob Harris Dirt Contracting  ,OK,Abandoned ,Surface,Harris Pit
M ,Construction Sand and Gravel ,1600916,Bohannon Sand & Dirt  ,LA,Abandoned ,Surface,BOHANNON SAND & DIRT
M ,Construction Sand and Gravel ,3401211,Bratcher'S Sand & Dirt  ,OK,Abandoned ,Surface,Eubanks Pit
M ,Construction Sand and Gravel ,0301267,Brewer Dirt Works  ,AR,Abandoned ,Surface,Brewer Pit
M ,Construction Sand and Gravel ,1600956,Buck'S Dirt Pit  ,LA,Abandoned ,Surface,Buck'S Dirt Pit
M ,Common Clays NEC ,2200033,C & G Dirt Hauling  ,MS,Abandoned ,Surface,Laurel Brick & Tile
M ,Construction Sand and Gravel ,0504953,"C N C Dirt Movers, Inc.  ",NM,Abandoned ,Surface,Foster Canyon
M ,"Sand, Industrial NEC ",3401929,Cambridge Dirt Sand and Gravel LLC  ,OK,Abandoned ,Surface,Cambridge #1
M ,Construction Sand and Gravel ,1302445,Central Iowa Dirt & Demo LLC  ,IA,Abandoned ,Surface,Woolstock
M ,Construction Sand and Gravel ,1601106,Crowes Trucking & Dirt Pit Services  ,LA,Abandoned ,Surface,Crowes Dirt Pit
M ,Construction Sand and Gravel ,3400915,D & H Dirt  ,OK,Abandoned ,Surface,D & H Dirt
M ,Construction Sand and Gravel ,1600983,Diez Dirt & Sand Hauling Inc  ,LA,Abandoned ,Surface,Amite Acres Dredge
M ,Common Clays NEC ,4503200,Dirt Cheap  ,WA,Abandoned ,Surface,Dirt Cheap
M ,Construction Sand and Gravel ,3401266,Dirt Company  ,OK,Abandoned ,Surface,Pit #1
